category,articles_total,articles_geopolitics,tier
Fertilizers and Agricultural Chemicals,26,16,other
Japan Government Bonds,52,16,other
Coal and Consumable Fuels,53,16,other
Diversified Metals and Mining,53,16,other
Debt,1312,15,other
State of Freight,47,15,other
Soccer,126,15,other
Integrated Oil and Gas,41,15,other
CNBC Travel: Connect,171,15,other
Gaming,197,15,other
US Treasurys,1093,15,other
Latest News,37,14,other
Small Business,275,14,other
Consumer Staples,339,14,other
Mortgages,944,14,other
Leadership,371,14,other
Construction,132,14,other
Movies and Entertainment,753,14,other
Prediction Markets,97,14,other
Recession,224,14,other
Consumer Technology,197,14,other
The Road to COP26,28,14,other
Lobbyists,56,14,other
Insurance,244,14,other
Crime and Punishment,31,13,other
Supply and Demand,46,13,other
Innovation,299,13,other
Apparel,495,13,other
Advertising,297,13,other
Investment Strategy,3897,13,other
Campaign Finance,386,13,other
ETF Edge,379,12,other
Water,42,12,other
Expanding Opportunity,664,12,other
Sustainable Future: Investing,47,12,other
Funds and ETFs,613,12,other
GDP,132,12,other
Germany: Engine of Europe,19,12,other
Federal Budget (U.S.),79,12,other
Legislation,261,11,other
Tax Planning,1068,11,other
Cloud Computing,340,11,other
Sustainable Future: Technology,57,11,other
Commodities: Alternative Investing,72,11,other
Restaurants,392,10,other
Consumer Price Index,316,10,other
The Edge,79,10,other
Foreign Exchange,53,10,other
Bitcoin: Boom or Bust,23,10,other
 Millionaires and Billionaires,172,10,other
US Market,261,10,other
Swiss National Bank,31,10,other
Asia Stock Markets,36,10,other
Inside China,22,10,other
UK Government Bonds,31,10,other
Video Games,160,10,other
Natural Gas,61,10,other
Make It,10523,10,other
CNBC Property Play,108,10,other
Medicine,80,9,other
Gambling,183,9,other
Sustainable Energy,77,9,other
Gas Utilities,20,9,other
Consumer Finance,262,9,other
Futures,44,9,other
Publishing,63,9,other
Credit and Debt,33,9,other
Crypto World,188,9,other
Auto Components,51,9,other
Materials,94,9,other
Converge,28,9,other
Money Movers,82,9,other
Asia: Mobile,58,9,other
Music & Musicians,224,9,other
Business of Marijuana: The Business,16,9,other
Electronic Manufacturing Services,36,8,other
Privacy,56,8,other
CNBC Data Visualizations,131,8,other
Layoffs,216,8,other
Closing Bell,169,8,other
The Exchange,102,8,other
Golf News,82,8,other
CEO Interviews,240,8,other
Sustainable Future: Energy,35,8,other
2020 Elections,304,8,other
U.S. Business Day,1001,8,other
East Tech West,9,8,other
100 Days of Trump,19,8,other
Private Equity,163,8,other
Computer Hardware,125,8,other
Ethics,46,7,other
UK Votes,11,7,other
Crime Inc.,16,7,other
Financials,309,7,other
feed: Taxes,811,7,other
Stock Picks,5933,7,other
