category,articles_total,articles_geopolitics,tier
Nasdaq,9,0,other
Nail the Number: Squawk on the Street,10,0,other
Oil and Gas Equipment,2,0,other
OTC,4,0,other
O - P,1,0,other
Nonprofit Organization,16,0,other
CNBC Fed Survey,81,0,other
Horse Racing,19,0,other
Hong Kong vs Singapore,3,0,other
Hong Kong Stock Exchange,30,0,other
Hong Kong Dollar,4,0,other
Home Ownership,21,0,other
IT Services,7,0,other
Help Wanted - AKA Where The Jobs Are,1,0,other
Heating Oil,4,0,other
Heard in Davos,1,0,other
Healthy Returns Events,2,0,other
Healthy Returns,7,0,other
Healthcare 2011,9,0,other
CNBC Changemakers with Julia Boorstin,6,0,other
CNBC Changemakers,94,0,other
CNBC 360,1,0,other
Packaged Food and Meats,25,0,other
PRO: Power Check,7,0,other
PRO: Playbooks,5,0,other
PRO: Invest like Buffett,2,0,other
PRO Picks,32,0,other
PPI,54,0,other
Other Diversified Financial Services,1,0,other
Original Productions,1,0,other
Options Action,1,0,other
Options,1309,0,other
Personal Products,4,0,other
Occupy Wall Street,1,0,other
Obamacare,18,0,other
Business Strategy,1,0,other
Personal Finance: Education,84,0,other
Personal Finance parent,1,0,other
Personal Finance Video Social Security,2,0,other
Pensions,41,0,other
Patents,8,0,other
Health and Health Care,22,0,other
Computer Storage and Peripherals,2,0,other
Communism,2,0,other
Communications Equipment,6,0,other
Halloween,2,0,other
Partnership,5,0,other
Paper Packaging,1,0,other
Palladium,755,0,other
Portfolio Perspective,3,0,other
Politics Section,2,0,other
Power Rundown,1,0,other
Power Insider,2,0,other
Pro: Deep Dives,21,0,other
Pro: Deep Dive,5,0,other
Pro: Crypto Investing,16,0,other
Pro: Complimentary Access,14,0,other
Pro: Chart Investing Pro,1,0,other
Podcasts,1,0,other
Platinum,758,0,other
Planning stages,9,0,other
Photographic Products,2,0,other
CEO Council Summit,2,0,other
Buyins and Buyouts,5,0,other
Business of Marijuana: The Law,4,0,other
Business of Marijuana: The Consumer,3,0,other
Business of Marijuana: Commentary,1,0,other
Pro Uncut,320,0,other
Pro Talks,113,0,other
Pro Business Day Episodes,1,0,other
Pro Analysis and Pro Uncut ,50,0,other
Pro: Options Picks,3,0,other
Pro: Options Investing Pro,5,0,other
Pro: Market forecasts,21,0,other
Pro: Market Movers,1,0,other
Pro: Macro Insights for Investing,916,0,other
Business Sectors,1,0,other
Pro Alerts,8,0,other
Primetime Shows 2,1,0,other
Prime: Money Court,28,0,other
Preferred Stock,19,0,other
Predictions,6,0,other
Powering the Future,1,0,other
Pro: CNBC TV Picks,22,0,other
Pro: Analyst Calls,1271,0,other
Pro: Analysis,153,0,other
Pro: Alternative Investments,12,0,other
Pro Video,1,0,other
Guide to Buying Your First Home,2,0,other
Home Entertainment Software,2,0,other
Holiday Gift Guides,1,0,other
Holiday Central 2010,1,0,other
Holiday Central,112,0,other
Highways and Railtracks,2,0,other
Consumer Durables and Apparel,5,0,other
Consumer & Retail Digital Original Video,116,0,other
Consumed,1,0,other
Grow: Investing,1,0,other
Gold 2011,1,0,other
Republican Presidential Debate,1,0,other
Remembering Steve Jobs,1,0,other
Reinsurance,1,0,other
Pro: Investing trends,1947,0,other
Pro: Investing Picks,8,0,other
Pro: Investing Insight,9,0,other
Pro: Invest Like The Pros,2,0,other
Pro: Income Picks,4,0,other
Pro: Income Investing,14,0,other
Pro: How to Invest,21,0,other
Pro: Goldman Sachs Stock Picks,2,0,other
Pro: Future of Energy,80,0,other
Pro: ETF Picks,11,0,other
Public-Private Investment Fund,8,0,other
Protecting Your Portfolio,2,0,other
Pro: Chart Analysis,1,0,other
Property and Casualty Insurance,19,0,other
Profit Warnings,1,0,other
Professional Services,2,0,other
Product Recalls,57,0,other
Pro: What the Pros are Saying,14,0,other
Pro: Stock Screener,27,0,other
Global Opportunities: Sri Lanka,1,0,other
Global Opportunities: Hong Kong,2,0,other
Health Tech Matters,7,0,other
Coronavirus: Businesses Impact and Company Responses,5,0,other
Germany Government Bonds,15,0,other
General Merchandise Stores,3,0,other
Gender Agenda,24,0,other
Pro: Stock Picks,1723,0,other
Pro: Pro Profile,1,0,other
Pro: Pro Columnists,1,0,other
Game Plan,12,0,other
Future of Work,12,0,other
Full Episodes,1,0,other
"From ""Cannabis Inc.""",5,0,other
Contracts,5,0,other
Containers and Packaging,5,0,other
France Government Bonds,4,0,other
Forest Products,2,0,other
Food Stamps,32,0,other
Business Capital,1,0,other
Built for Billions,2,0,other
Buffett and Gates: Keeping America Great,1,0,other
Buffett Watch,29,0,other
Buffett Archive: 2023 Berkshire Hathaway Annual Meeting,1,0,other
Buffet A-Z,3,0,other
Budgeting & Saving,46,0,other
Roth IRA,239,0,other
Brewers,3,0,other
Brazilian Real,2,0,other
Brazil Government Bonds,1,0,other
Return on Retirement,17,0,other
Retirement planning: Your Money,31,0,other
Retirement at Risk,1,0,other
Retire Well,11,0,other
Retail Sales,31,0,other
Retail Report,1,0,other
Retail REITs,9,0,other
Restructurings,2,0,other
Sectornomics Tech,1,0,other
Radio,21,0,other
Business Practices,1,0,other
Business Failures,3,0,other
Sectornomics Industrials,1,0,other
Sectornomics Health Care,2,0,other
Sector Watch,8,0,other
Sector ETFs,2,0,other
Santelli Exchange,1,0,other
S&P 500,1005,0,other
Fixed Income Strategies,15,0,other
First Class - 2023,6,0,other
Cotton,2,0,other
Corporate Restructuring,6,0,other
Corporate Assets,5,0,other
Credit Downgrades,2,0,other
Credit Derivatives,3,0,other
Country ETFs,3,0,other
Financial Statements,9,0,other
S - T,1,0,other
Small Business Playbook Events,2,0,other
Small Business Playbook,1,0,other
Small Business Administration,76,0,other
Spending & Credit: Your Money,56,0,other
Specialty Stores,1,0,other
Boom Bust and Blame,1,0,other
Bonuses,2,0,other
Bonds Headlines,1,0,other
Bond ETFs,31,0,other
Singapore Dollar,12,0,other
Shark Tank,24,0,other
Select: Personal Finance,1,0,other
Select: Cybersecurity,2,0,other
Select: Banking,4,0,other
Select,20,0,other
Securitization,1,0,other
Smart Tax Planning,30,0,other
Small Business: Tools,14,0,other
Small Business: Management,101,0,other
Small Business: Franchising,5,0,other
Small Business: Financing,27,0,other
Financial Advisor Events,6,0,other
Financial Advisor 100 - 2024 List,99,0,other
Financial Advisor 100,464,0,other
Fast Money:  Fast Money Portfolio,8,0,other
Family Business Private Wealth,3,0,other
Faber Report,3,0,other
FTSE,2,0,other
FIFA World Cup,1,0,other
ExxonMobil at the Crossroads tonight,2,0,other
Small Business: Council,2,0,other
Small Business Survey,2,0,other
Sports Biz with Darren Rovell,16,0,other
Super Bowl,21,0,other
Sugar,5,0,other
Succession at Apple,1,0,other
Specialty Chemicals,10,0,other
Specialized REITs,1,0,other
Special Report: Ecosperity Week,1,0,other
Sohn Conference,2,0,other
Software and Computer Services,18,0,other
Soft Drinks,3,0,other
Socialism,2,0,other
Black History Month,13,0,other
Billionaire Next Door: Restoring Trust,1,0,other
Big Shot: The Ozempic Revolution,2,0,other
Snowstorms,10,0,other
Smarter Courses,3,0,other
Berkshire Hathaway Annual Meeting,45,0,other
Beige Book,2,0,other
Better Energy - Renewables,2,0,other
Squawk C-Suite,1,0,other
Squawk Box Live,32,0,other
Existing Home Sales,11,0,other
Executive Edge,12,0,other
Crowdfunding,2,0,other
Crisis On Wall Street,2,0,other
Credit Upgrades,2,0,other
Credit Scores,4,0,other
Executive Careers Blog,3,0,other
Exchanges,11,0,other
Events: Leadership Exchange,1,0,other
Squawk Alley,2,0,other
Sports Valuations,28,0,other
Stormy Weather 2011,3,0,other
Store Openings,1,0,other
Store Closings,1,0,other
Stock Options,7,0,other
Fannie Mae & Freddie Mac,10,0,other
Estate Planning,75,0,other
Equity and Opportunity Forum,17,0,other
Environmental and Facilities Services,8,0,other
Enterprise/Security Disruptors 2013,1,0,other
Daily Open,1,0,other
Stock Market Research and Insights Hub,2,0,other
Stock Lists,6,0,other
Better Energy - Carbon,5,0,other
Best Jobs Ever,3,0,other
Best Buy: The Big Box Fights Back,1,0,other
Bernie Madoff: His Life and Crimes,2,0,other
Bank Crisis Strikes Europe,1,0,other
Swedish Krona,5,0,other
Sustainable Returns Events,4,0,other
DOW 30,6,0,other
DO NOT USE Consumer,3,0,other
Customer Service,2,0,other
Currency ETFs,4,0,other
Currency Contest,2,0,other
Deals That Matter,8,0,other
David Faber,9,0,other
Data Economy,2,0,other
Endorsements,2,0,other
Sustainable Future Forum,31,0,other
Back From the Brink: 10 Years On,2,0,other
Baby Boomers,205,0,other
Australia This Week,5,0,other
TechCheck,51,0,other
Aspen Ideas Festival Videos,1,0,other
Aspen Ideas Festival,13,0,other
Ask an Advisor,16,0,other
Athletes,33,0,other
Tech Transformers,1,0,other
Tech Holiday Gift Guide,1,0,other
Tech Edge ,7,0,other
Tech Drivers,9,0,other
"Taxes, Investments & You",4,0,other
Tax/impuestos: CNBC en Español,11,0,other
Tax Day,5,0,other
Taste and Trends,9,0,other
Takeover Bids,8,0,other
Systems Software,27,0,other
Bank of New Zealand,7,0,other
Textiles,4,0,other
Television Show,1,0,other
Technology: Video,4,0,other
Technology: CNBC Explains,1,0,other
Empowered Investor,10,0,other
Emmy Awards,1,0,other
Electronic Equipment and Instruments,3,0,other
Electronic Equipment Instruments and Components,2,0,other
Electrical Components and Equipment,6,0,other
Ethanol,2,0,other
Delivering Alpha 2023 Speakers,1,0,other
Election Playbook,1,0,other
Education & You 2012,1,0,other
Economic Theory,5,0,other
Technical Indicators,9,0,other
TechCheck Takes,12,0,other
The Job Interview,3,0,other
The Green Advantage 2012,1,0,other
The Future of Manufacturing,5,0,other
Trader Talk,372,0,other
Trademarks,3,0,other
Asia: Press Releases,21,0,other
The Fintech Effect,4,0,other
The Facebook IPO,2,0,other
The Diamond Rush,4,0,other
The Costco Craze: Inside the Warehouse Giant,1,0,other
The Coffee Addiction,1,0,other
The Blockchain Revolution,3,0,other
The Art of Appreciation INTL,1,0,other
The 2012 Greek Elections,1,0,other
Thai Baht,2,0,other
Textiles Apparel and Luxury Goods,21,0,other
The Swift Effect,1,0,other
The Sharing Economy,4,0,other
The Profit: An Inside Look,2,0,other
The Profit in Cuba,1,0,other
The Pet Economy,1,0,other
Delivering Alpha 2019,4,0,other
Definitive Guide to Student Loans,2,0,other
ETF Exchange,4,0,other
EMEA: Press Releases,4,0,other
Diversified Consumer Services,1,0,other
Diversified Chemicals,2,0,other
Diversified Banks,5,0,other
Ditching the Degree,10,0,other
The Path with Becky Quick,1,0,other
The Path Forward,2,0,other
The New Road to Retirement,31,0,other
Analysts,2,0,other
American Originals: Kentucky Derby,2,0,other
American Greed: The Fugitives,1,0,other
Aluminum Producers,3,0,other
Alternative Investing: Wine,1,0,other
Alternative Investing: Vehicles,4,0,other
Toys And The Web,8,0,other
Tornadoes,14,0,other
Top States Past Year Rankings,12,0,other
Tires and Rubber,1,0,other
Tips/Advice,7,0,other
Tips and Advice,1,0,other
Arbitrage,1,0,other
Annuities,38,0,other
Annual Meeting,2,0,other
The Tech Download,3,0,other
Trading Nation Commentary,1,0,other
Trading Matters,1,0,other
Disruptor 50 Industries: EDUCATION 2013,4,0,other
Disruptor 50 Academic Advisory Board,4,0,other
Disaster in Japan,2,0,other
Diana Olick,2,0,other
Derivatives,8,0,other
Depression,3,0,other
Department Stores,88,0,other
Delivering Alpha Events,1,0,other
Dow Jones Industrial Average,8,0,other
Documentary: Generation Gamble,1,0,other
Divestments,6,0,other
Diversified Telecommunication Services,1,0,other
Diversified Financials,3,0,other
Diversified Financial Services,29,0,other
What Happened: Explore the Timeline,1,0,other
Alternative Investing: Niches,1,0,other
Alternative Investing: Memorabilia,1,0,other
Alternative Investing: Jewelry and Clothing,7,0,other
Alternative Investing: Fine Art,20,0,other
"Alternative Investing: Coins, Stamps & Books",1,0,other
Alternative Investing,80,0,other
US: Bonds Overview,9,0,other
US Top News and Analysis TEST page,2,0,other
Alexa: Closing Bell,1,0,other
Advisor Insight,12,0,other
Advice and the Advisor ,25,0,other
Tsunami,2,0,other
Trusts and Estates,13,0,other
Trump Accounts,9,0,other
Trading Tips,1,0,other
Workforce Wire,16,0,other
529 Plans,71,0,other
 Make It - The Covid Economy,2,0,other
quotes,1,0,other
iPhone Redux,1,0,other
Your Money Events,1,0,other
World Features,1,0,other
Acorns: Earning,1,0,other
Acorns: Cryptocurrency,4,0,other
Access Africa,3,0,other
Access ASEAN,1,0,other
AIDS,4,0,other
Adult Entertainment,2,0,other
Activist Spotlight,6,0,other
Active Passive,5,0,other
Volcanic Eruptions,3,0,other
Weekend Brief,462,0,other
Wealth in Asia,1,0,other
Wealth Managers Toolkit,1,0,other
Warren Buffett Archive,10,0,other
Warren Buffet: Investor. Teacher. Icon.,1,0,other
Activating  Wealth,1,0,other
2011 Berkshire Hathaway Annual Meeting,1,0,other
 Videos,2,0,other
 Disruptor Index,1,0,other
Drug Price Crisis,1,0,other
Droughts,4,0,other
Dow Transports,8,0,other
Women & Business 2011,1,0,other
Women and Wealth Events,1,0,other
Women who broke down barriers in business,1,0,other
Work/Life ,49,0,other
